#pan_ID	anns_in_og	genes_in_og	acacr.Acra3RX	aesev.CIAT22838	arath.Col0	bauva.BV-YZ2020	cerca.ISC453364	chafa.ISC494698	glyma.Wm82	lotja.MG20	medtr.A17_HM341	paran.WU01x14	phach.longxuteng	phavu.G19833	prupe.Lovell	quisa.S10	sento.Myeongyun	singl.CAF01	treor.RG33x02	vitvi.PN40024
LegSF.fam3.00084	18	406	29	14	22	24	25	17	32	19	30	37	3	32	34	13	14	14	32	15	
LegSF.fam3.00085	18	357	13	12	18	21	13	21	33	30	24	29	16	16	18	20	15	19	25	14	
LegSF.fam3.00086	18	260	16	12	12	14	10	10	19	24	22	10	10	12	13	21	14	18	12	11	
LegSF.fam3.00087	17	35	1	0	1	3	2	1	3	1	2	2	2	2	2	2	2	3	2	4	
LegSF.fam3.00088	8	89	0	6	0	0	25	0	7	12	13	0	18	7	0	0	0	0	1	0	
LegSF.fam3.00089	5	250	0	0	0	0	0	0	11	18	218	1	0	0	0	0	0	0	2	0	
LegSF.fam3.00090	18	566	26	21	15	35	24	26	38	34	37	41	25	29	29	32	21	34	42	57	
LegSF.fam3.00091	18	140	10	6	4	8	5	6	16	7	9	5	4	10	5	11	5	8	4	17	
LegSF.fam3.00092	18	422	2	9	35	9	28	18	26	21	42	50	16	22	28	16	11	14	48	27	
LegSF.fam3.00093	18	224	21	9	6	15	10	9	15	12	21	14	9	9	9	12	11	20	13	9	
LegSF.fam3.00094	18	222	14	8	11	17	10	13	20	10	8	8	14	11	12	15	11	16	8	16	
LegSF.fam3.00095	18	283	15	14	11	20	11	16	25	28	13	11	19	16	11	18	13	18	13	11	
LegSF.fam3.00096	18	200	11	11	9	13	15	8	21	10	18	8	8	11	9	9	8	9	8	14	
LegSF.fam3.00097	18	128	5	6	7	7	4	9	16	9	11	5	7	8	4	8	5	8	5	4	
LegSF.fam3.00098	18	161	5	9	5	8	6	6	16	9	17	8	7	14	12	7	4	11	9	8	
LegSF.fam3.00099	18	173	10	11	5	12	7	9	16	11	14	7	11	9	7	11	5	10	7	11	
LegSF.fam3.00100	18	217	13	16	9	13	8	12	22	15	20	7	10	11	8	14	12	11	7	9	
LegSF.fam3.00101	5	6	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	
LegSF.fam3.00102	17	84	2	2	4	4	8	7	14	5	11	2	1	11	3	1	1	6	2	0	
LegSF.fam3.00103	18	135	8	5	8	11	5	8	14	9	11	4	8	5	5	10	6	7	4	7	
LegSF.fam3.00104	18	325	6	9	15	42	13	15	12	22	16	18	16	15	13	6	10	22	24	51	
LegSF.fam3.00105	17	180	11	15	0	23	12	4	13	8	8	10	7	14	8	15	6	6	9	11	
LegSF.fam3.00106	18	190	11	9	9	13	9	13	22	9	12	9	7	11	8	11	10	10	8	9	
LegSF.fam3.00107	18	226	14	12	9	12	6	11	21	16	16	10	18	10	10	15	15	11	11	9	
LegSF.fam3.00108	18	165	21	8	4	9	6	19	17	12	14	4	11	13	4	3	5	8	4	3	
LegSF.fam3.00109	18	348	13	15	10	23	18	13	38	19	32	13	21	22	16	19	15	14	11	36	
LegSF.fam3.00110	18	264	16	18	11	16	10	12	31	15	17	10	16	16	13	16	15	13	10	9	
LegSF.fam3.00111	18	258	12	11	10	22	11	14	28	18	10	15	11	16	16	13	12	12	13	14	
LegSF.fam3.00112	18	201	11	8	11	13	7	12	22	12	11	9	10	10	8	12	16	12	9	8	
LegSF.fam3.00113	18	189	15	7	9	9	5	8	27	16	17	7	4	13	4	8	8	5	8	19	
LegSF.fam3.00114	18	264	30	7	13	6	9	13	20	12	43	10	7	17	16	11	12	13	8	17	
LegSF.fam3.00115	7	77	2	0	0	12	7	0	0	0	20	0	32	0	0	0	3	0	1	0	
LegSF.fam3.00116	18	179	11	8	9	16	8	10	23	11	10	6	7	16	10	11	3	6	6	8	
LegSF.fam3.00117	18	218	13	5	19	16	17	11	5	8	44	5	15	2	13	9	12	7	8	9	
